movie_id,company_id,company_name
807,12,New Line Cinema
807,4286,Juno Pix
807,65394,Cecchi Gori Pictures
87827,289,Ingenious Film Partners
87827,290,Ingenious Media
87827,444,Dune Entertainment
87827,711,Fox 2000 Pictures
87827,10893,Big Screen Productions
87827,13480,Haishang Films
205596,22146,Black Bear Pictures
205596,38145,Bristol Automotive
10528,79,Village Roadshow Pictures
10528,1885,Silver Pictures
10528,6194,Warner Bros.
10528,19855,Internationale Filmproduktion Blackbird Dritte
10528,23202,Wigram Productions
100402,420,Marvel Studios
284052,2,Walt Disney Pictures
284052,420,Marvel Studios
49047,6194,Warner Bros.
49047,7364,Heyday Films
49047,7470,Esperanto Filmoj
131631,1632,Lionsgate
131631,5420,Color Force
674,462,Patalex IV Productions Limited
674,6194,Warner Bros.
674,7364,Heyday Films
329865,4,Paramount Pictures
329865,2575,21 Laps Entertainment
329865,7493,FilmNation Entertainment
329865,32300,Lava Bear Films
12444,6194,Warner Bros.
12444,7364,Heyday Films
72190,4,Paramount Pictures
72190,3281,GK Films
72190,6277,Skydance Productions
72190,9169,Hemisphere Media Capital
72190,11956,Apparatus Productions
72190,19108,Latina Pictures
72190,23644,2DUX²
75656,491,Summit Entertainment
75656,7296,K/O Paper Products
75656,23271,SOIXAN7E QUIN5E
75656,23272,See Me Louisiana
675,6194,Warner Bros.
675,7364,Heyday Films
259316,437,Heyday films
259316,6194,Warner Bros.
98,27,DreamWorks SKG
98,33,Universal Pictures
98,1645,Scott Free Productions
98,14440,Red Wagon Entertainment
98,21904,Mill Film
98,21905,C & L
98,21906,Dawliz
198663,290,Ingenious Media
198663,306,Twentieth Century Fox Film Corporation
198663,3672,Gotham Group
198663,8569,Dayday Films
198663,12292,Temple Hill Entertainment
198663,22213,TSG Entertainment
321612,2,Walt Disney Pictures
321612,10227,Mandeville Films
8587,2,Walt Disney Pictures
8587,10217,Walt Disney Feature Animation
245891,491,Summit Entertainment
245891,6194,Warner Bros.
245891,23008,87Eleven
245891,36259,DefyNite Films
245891,36433,MJW Films
109445,2,Walt Disney Pictures
109445,6125,Walt Disney Animation Studios
767,6194,Warner Bros.
767,7364,Heyday Films
862,3,Pixar Animation Studios
77338,9,Gaumont
77338,3823,TF1 Films Production
77338,5358,Canal+
77338,6301,CinéCinéma
77338,7038,Quad Productions
77338,7766,Chaocorp
77338,8018,Ten Films
77338,22123,TF1
557,5,Columbia Pictures
557,19551,Marvel Enterprises
58,2,Walt Disney Pictures
58,130,Jerry Bruckheimer Films
58,19936,Second Mate Productions
9806,2,Walt Disney Pictures
9806,3,Pixar Animation Studios
82992,13,Universal Studios
82992,33,Universal Pictures
82992,333,Original Film
82992,1225,One Race Productions
82992,3341,Fuji Television Network
82992,6452,Dentsu
82992,7295,Relativity Media
82992,9341,Etalon film
82992,48499,F & F VI Productions A.I.E
49538,289,Ingenious Film Partners
49538,290,Ingenious Media
49538,306,Twentieth Century Fox Film Corporation
49538,431,Donners' Company
49538,444,Dune Entertainment
49538,6332,Dune Entertainment III
49538,7505,Marvel Entertainment
49538,9168,Bad Hat Harry Productions
49538,10893,Big Screen Productions
70981,306,Twentieth Century Fox Film Corporation
70981,444,Dune Entertainment
70981,1645,Scott Free Productions
70981,19747,Brandywine Productions
857,4,Paramount Pictures
857,27,DreamWorks SKG
857,56,Amblin Entertainment
857,762,Mutual Film Company
857,11362,Mark Gordon Productions
330459,1,Lucasfilm
330459,2,Walt Disney Pictures
330459,47706,Allison Shearmur Productions
330459,68738,Black Hangar Studios
330459,86561,Stereo D
1271,449,Virtual Studios
1271,923,Legendary Pictures
1271,2994,Hollywood Gang Productions
1271,2995,Atmosphere Entertainment MM
1271,6194,Warner Bros.
1271,7636,Nimar Studios
1271,78685,Cruel and Unusual Films
24,14,Miramax Films
24,59,A Band Apart
24,39121,Super Cool ManChu
1865,2,Walt Disney Pictures
1865,130,Jerry Bruckheimer Films
1865,20478,Moving Picture Company (MPC)
297762,444,Dune Entertainment
297762,507,Atlas Entertainment
297762,6194,Warner Bros.
297762,9993,DC Entertainment
297762,9995,Cruel & Unusual Films
297762,81620,TENCENT PICTURES
297762,83838,Wanda Pictures
14161,5,Columbia Pictures
14161,347,Centropolis Entertainment
14161,1557,The Mark Gordon Company
14161,10905,Farewell Productions
137113,79,Village Roadshow Pictures
137113,6194,Warner Bros.
137113,6687,Viz Media
137113,12200,Province of British Columbia Production Services Tax Credit
137113,36390,3 Arts Entertainment
137113,41624,RatPac-Dune Entertainment
6479,79,Village Roadshow Pictures
6479,333,Original Film
6479,433,Weed Road Pictures
6479,6194,Warner Bros.
6479,7364,Heyday Films
6479,12485,Overbrook Entertainment
269149,2,Walt Disney Pictures
269149,6125,Walt Disney Animation Studios
329,33,Universal Pictures
329,56,Amblin Entertainment
68726,923,Legendary Pictures
68726,6194,Warner Bros.
68726,19750,Disney Double Dare You (DDY)
68726,19751,Indochina Productions
122917,11,WingNut Films
122917,12,New Line Cinema
122917,174,Warner Bros. Pictures
122917,7413,3Foot7
122917,8411,Metro-Goldwyn-Mayer (MGM)
76338,420,Marvel Studios
264660,284,DNA Films
264660,5726,Universal Pictures International (UPI)
264660,9349,Film4
264660,41077,A24
75612,33,Universal Pictures
75612,7076,Chernin Entertainment
75612,7295,Relativity Media
75612,19647,Monolith Pictures (III)
75612,19648,Radical Studios
283995,2,Walt Disney Pictures
283995,420,Marvel Studios
82693,308,The Weinstein Company
246655,306,Twentieth Century Fox Film Corporation
246655,431,Donners' Company
246655,7505,Marvel Entertainment
246655,9168,Bad Hat Harry Productions
246655,22213,TSG Entertainment
246655,78091,Kinberg Genre
72105,33,Universal Pictures
72105,2531,Media Rights Capital
72105,8789,Fuzzy Door Productions
157350,491,Summit Entertainment
157350,14440,Red Wagon Entertainment
59967,1205,Endgame Entertainment
59967,7263,FilmDistrict
59967,10289,DMG Entertainment
59967,11092,Ram Bergman Productions
12155,2,Walt Disney Pictures
12155,598,Team Todd
12155,8601,Tim Burton Productions
12155,16314,Roth Films
12155,20004,"Zanuck Company, The"
1892,1,Lucasfilm
1892,306,Twentieth Century Fox Film Corporation
62177,2,Walt Disney Pictures
62177,3,Pixar Animation Studios
23483,1632,Lionsgate
23483,5374,Marv Films
313369,491,Summit Entertainment
313369,2527,Marc Platt Productions
313369,10161,Gilbert Films
313369,33681,Black Label Media
313369,53247,Impostor Pictures
211672,33,Universal Pictures
211672,6704,Illumination Entertainment
93456,33,Universal Pictures
93456,6704,Illumination Entertainment
10193,2,Walt Disney Pictures
10193,3,Pixar Animation Studios
37165,4,Paramount Pictures
37165,258,Scott Rudin Productions
194662,9015,Worldview Entertainment
194662,10104,New Regency Pictures
194662,22213,TSG Entertainment
194662,47169,Le Grisbi Productions
194662,52660,M Productions
82690,6125,Walt Disney Animation Studios
120467,43,Fox Searchlight Pictures
120467,258,Scott Rudin Productions
120467,264,Studio Babelsberg
120467,9350,Indian Paintbrush
120467,22213,TSG Entertainment
120467,23449,American Empirical Pictures
57158,11,WingNut Films
57158,12,New Line Cinema
57158,174,Warner Bros. Pictures
57158,8411,Metro-Goldwyn-Mayer (MGM)
285,2,Walt Disney Pictures
285,130,Jerry Bruckheimer Films
285,19936,Second Mate Productions
102651,2,Walt Disney Pictures
102651,3036,Walt Disney Studios Motion Pictures
102651,16314,Roth Films
190859,79,Village Roadshow Pictures
190859,171,Malpaso Productions
190859,6194,Warner Bros.
190859,41624,RatPac-Dune Entertainment
190859,57408,Mad Chance Productions
190859,57409,22 & Indiana Pictures
13475,4,Paramount Pictures
13475,158,Spyglass Entertainment
13475,11461,Bad Robot
13475,23419,MavroCine Pictures GmbH & Co. KG
348,306,Twentieth Century Fox Film Corporation
348,19747,Brandywine Productions
44214,43,Fox Searchlight Pictures
44214,444,Dune Entertainment
44214,7503,Protozoa Pictures
44214,10246,Cross Creek Pictures
752,264,Studio Babelsberg
752,429,DC Comics
752,449,Virtual Studios
752,450,Anarchos Productions
752,1885,Silver Pictures
752,6194,Warner Bros.
752,7307,Medienboard Berlin-Brandenburg
752,23889,Fünfte Babelsberg Film
206647,5,Columbia Pictures
206647,10761,Danjaq
206647,69434,B24
274,41,Orion Pictures
274,55072,Strong Heart/Demme Production
1893,1,Lucasfilm
607,56,Amblin Entertainment
607,441,Columbia Pictures Corporation
607,49325,Parkes+MacDonald Image Nation
119450,290,Ingenious Media
119450,7076,Chernin Entertainment
119450,22213,TSG Entertainment
1124,6194,Warner Bros.
1124,9195,Touchstone Pictures
1124,9996,Syncopy
2062,2,Walt Disney Pictures
2062,3,Pixar Animation Studios
54138,4,Paramount Pictures
54138,6277,Skydance Productions
54138,11461,Bad Robot
54138,12536,Kurtzman/Orci
381288,33,Universal Pictures
381288,3172,Blumhouse Productions
381288,12236,Blinding Edge Pictures
1422,829,Vertigo Entertainment
1422,5552,Media Asia Films
1422,6194,Warner Bros.
1422,7380,Initial Entertainment Group (IEG)
1422,45778,Plan B Entertainment
61791,289,Ingenious Film Partners
61791,290,Ingenious Media
61791,306,Twentieth Century Fox Film Corporation
61791,444,Dune Entertainment
61791,6332,Dune Entertainment III
61791,7076,Chernin Entertainment
61791,10893,Big Screen Productions
8681,306,Twentieth Century Fox Film Corporation
8681,1115,M6 Films
8681,5358,Canal+
8681,6586,TPS Star
8681,6877,Grive Productions
8681,6896,EuropaCorp
8681,11261,M6
8681,11845,Wintergreen Productions
8681,23614,All Pictures Media
424,33,Universal Pictures
424,56,Amblin Entertainment
558,5,Columbia Pictures
558,326,Laura Ziskin Productions
558,19551,Marvel Enterprises
273248,215,Double Feature Films
273248,308,The Weinstein Company
273248,1811,FilmColony
244786,2266,Bold Films
244786,3172,Blumhouse Productions
244786,32157,Right of Way Films
127380,2,Walt Disney Pictures
127380,3,Pixar Animation Studios
127380,88016,Hurwitz Creative
10191,521,DreamWorks Animation
10191,829,Vertigo Entertainment
10191,20154,Mad Hatter Entertainment
101,5,Columbia Pictures
101,9,Gaumont
102382,5,Columbia Pictures
102382,19551,Marvel Enterprises
102382,31828,Avi Arad Productions
102382,53462,Matt Tolmach Productions
280,574,Lightstorm Entertainment
280,1280,Pacific Western
280,5358,Canal+
280,14723,Carolco Pictures
280,61409,T2 Productions
168259,33,Universal Pictures
168259,333,Original Film
168259,3341,Fuji Television Network
168259,6452,Dentsu
168259,7154,One Race Films
168259,40890,China Film Co.
168259,86352,Québec Production Services Tax Credit
168259,86655,Media Rights Capital (MRC)
168259,87857,Abu Dhabi Film Commission
168259,87858,"Colorado Office of Film, Television & Media"
41154,56,Amblin Entertainment
41154,5627,Media Magik Entertainment
41154,6736,Imagenation Abu Dhabi FZ
41154,9169,Hemisphere Media Capital
41154,11084,Parkes/MacDonald Productions
152601,6194,Warner Bros.
152601,13184,Annapurna Pictures
218,41,Orion Pictures
218,1280,Pacific Western
218,3952,Hemdale Film
218,4764,Cinema 84
218,7745,Euro Film Funding
1895,1,Lucasfilm
808,27,DreamWorks SKG
808,520,Pacific Data Images (PDI)
808,521,DreamWorks Animation
36657,306,Twentieth Century Fox Film Corporation
36657,431,Donners' Company
36657,9168,Bad Hat Harry Productions
36657,19551,Marvel Enterprises
36657,22969,Springwood Productions
36657,22970,Genetics Productions
77,491,Summit Entertainment
77,506,Newmarket Capital Group
77,598,Team Todd
77,34446,I Remember Productions
497,97,Castle Rock Entertainment
497,3982,Darkwoods Productions
497,6194,Warner Bros.
64688,5,Columbia Pictures
64688,333,Original Film
64688,5585,Stephen J. Cannell Productions
64688,7295,Relativity Media
64688,8411,Metro-Goldwyn-Mayer (MGM)
274870,5,Columbia Pictures
274870,79,Village Roadshow Pictures
274870,333,Original Film
274870,7193,Company Films
274870,19961,Start Motion Pictures
274870,34034,LStar Capital
274870,83838,Wanda Pictures
131634,264,Studio Babelsberg
131634,1632,Lionsgate
131634,5420,Color Force
1858,4,Paramount Pictures
1858,27,DreamWorks SKG
1858,56,Amblin Entertainment
1858,435,Di Bonaventura Pictures
1858,2481,Platinum Dunes
1858,12247,thinkfilm
1858,20011,SprocketHeads
1858,22826,Hasbro Studios
1858,76043,Revolution Sun Studios
76170,306,Twentieth Century Fox Film Corporation
76170,431,Donners' Company
76170,7505,Marvel Entertainment
76170,9168,Bad Hat Harry Productions
76170,10893,Big Screen Productions
76170,22213,TSG Entertainment
2080,289,Ingenious Film Partners
2080,306,Twentieth Century Fox Film Corporation
2080,431,Donners' Company
2080,444,Dune Entertainment
2080,9076,Seed Productions
2080,9168,Bad Hat Harry Productions
2080,10893,Big Screen Productions
2080,19551,Marvel Enterprises
1894,1,Lucasfilm
393,14,Miramax Films
393,59,A Band Apart
393,39121,Super Cool ManChu
228150,5,Columbia Pictures
228150,11029,QED International
228150,16312,Crave Films
228150,34034,LStar Capital
228150,39649,Huayi Brothers Media
228150,47169,Le Grisbi Productions
56292,4,Paramount Pictures
56292,6277,Skydance Productions
56292,11461,Bad Robot
56292,21777,TC Productions
56292,76043,Revolution Sun Studios
56292,76067,Kontsept Film Company
562,306,Twentieth Century Fox Film Corporation
562,1073,Gordon Company
562,1885,Silver Pictures
920,2,Walt Disney Pictures
920,3,Pixar Animation Studios
58574,79,Village Roadshow Pictures
58574,1885,Silver Pictures
58574,2723,Lin Pictures
58574,6194,Warner Bros.
58574,23202,Wigram Productions
129,10342,Studio Ghibli
18,5,Columbia Pictures
18,9,Gaumont
425,306,Twentieth Century Fox Film Corporation
425,9383,Blue Sky Studios
425,11749,Twentieth Century Fox Animation
85,1,Lucasfilm
85,4,Paramount Pictures
36557,7576,Eon Productions
36557,11345,Stillking Films
36557,19481,Babelsberg Film
165,33,Universal Pictures
165,56,Amblin Entertainment
165,20448,U-Drive Productions
262500,491,Summit Entertainment
262500,10227,Mandeville Films
262500,14440,Red Wagon Entertainment
262500,24097,NeoReel
640,367,Kemp Company
640,368,Splendid Pictures
640,11084,Parkes/MacDonald Productions
863,3,Pixar Animation Studios
694,88,Hawk Films
694,6194,Warner Bros.
694,11272,Peregrine
2048,306,Twentieth Century Fox Film Corporation
2048,415,Laurence Mark Productions
2048,1302,Davis Entertainment
2048,12485,Overbrook Entertainment
2048,19354,Mediastream Vierte Film GmbH & Co. Vermarktungs KG
2048,19355,Canlaws Productions
51876,134,Rogue Pictures
51876,7295,Relativity Media
51876,8852,Virgin Produced
51876,8854,Many Rivers Productions
51876,8855,Boy of the Year
51876,8856,Intermedia
64682,79,Village Roadshow Pictures
64682,240,Bazmark Films
64682,6194,Warner Bros.
64682,11858,A&E Television Networks
64682,14440,Red Wagon Entertainment
64682,14604,Spectrum Films
222935,711,Fox 2000 Pictures
222935,12292,Temple Hill Entertainment
222935,22213,TSG Entertainment
161,79,Village Roadshow Pictures
161,129,Section Eight
161,172,NPV Entertainment
161,2596,Jerry Weintraub Productions
161,6194,Warner Bros.
161,24939,WV Films II
45243,923,Legendary Pictures
45243,2877,Living Films
45243,3527,Green Hat Films
45243,6194,Warner Bros.
78,5798,Shaw Brothers
78,6194,Warner Bros.
78,7965,The Ladd Company
64690,2266,Bold Films
64690,2527,Marc Platt Productions
64690,3263,Odd Lot Entertainment
64690,7263,FilmDistrict
64690,11337,Motel Movies
64690,46625,Newbridge Film Capital
500,285,Live Entertainment
500,1632,Lionsgate
500,26198,Dog Eat Dog Productions Inc.
337339,33,Universal Pictures
337339,333,Original Film
337339,7154,One Race Films
